,open,high,low,close,volume,symbol,sma_5,sma_20,sma_50,daily_return,volatility,momentum_5,momentum_20,volume_change,hl_spread
2025-09-26,510.06,513.94,506.62,511.46,16213129.0,MSFT,510.46399999999994,507.05699999999996,512.1018,0.008737155592371204,0.010223769752262895,-0.012492035603266838,0.0035711482615179424,0.027027008194613344,0.014311969655496129
2025-09-29,511.5,516.845,508.88,514.6,17617775.0,MSFT,510.494,507.4525,512.1928,0.006139287529816739,0.010202208593436774,0.00029157352512387824,0.01561112317195934,0.08663633034684426,0.015478041197046311
2025-09-30,513.24,518.16,509.66,517.95,19728229.0,MSFT,512.238,508.09400000000005,512.3506000000001,0.00650991061018269,0.010233935989346401,0.01712389293639416,0.02539990497307576,0.11979117680864926,0.0164108504681918
2025-10-01,514.8,520.505,511.69,519.71,22632336.0,MSFT,514.15,508.812,512.6394,0.0033980113910609955,0.010242230130645628,0.018739586396158137,0.02841594934204017,0.14720566149145986,0.016961382309364833
2025-10-02,517.64,521.6,510.6791,515.74,21222886.0,MSFT,515.892,509.20050000000003,512.8368,-0.007638875526736144,0.010396486265781426,0.017178470701930904,0.015296178908203117,-0.06227594005320525,0.021175204560437463
2025-10-03,517.1,520.49,515.0,517.35,15112321.0,MSFT,517.07,510.31800000000004,512.9662000000001,0.003121728002482005,0.008347523268274731,0.01151605208618478,0.045151515151515165,-0.28792337667930745,0.010611771527979142
2025-10-06,518.61,531.03,518.2,528.57,21388581.0,MSFT,519.8639999999999,511.8365,513.2633999999999,0.021687445636416447,0.00938252332275027,0.02714729887291112,0.06095945403452441,0.41530748321187727,0.024273038575779796
2025-10-07,528.285,529.8,521.44,523.98,14615208.0,MSFT,521.07,513.115,513.4929999999999,-0.008683807253533127,0.009728973520467655,0.01164205039096422,0.05130314399791325,-0.3166817377927035,0.015954807435398108
2025-10-08,523.28,526.95,523.09,524.85,13363447.0,MSFT,522.0980000000001,514.3389999999999,513.7386,0.0016603687163632141,0.009725238103443614,0.009890131034615335,0.048923796390671015,-0.08564784024969063,0.007354482233018983
2025-10-09,522.335,524.325,517.4,522.4,18343602.0,MSFT,523.43,515.4085000000001,513.9218,-0.004668000381061299,0.009852550729691356,0.012913483538216974,0.0426937586076126,0.3726699406223559,0.013256125574272718
2025-10-10,519.64,523.58,509.63,510.96,24133840.0,MSFT,522.1519999999999,515.4615,513.471,-0.02189892802450233,0.01051330125220931,-0.012351406204697102,0.0020788389880368463,0.3156543627581976,0.027301550023485294
2025-10-13,516.41,516.41,511.68,514.05,14284238.0,MSFT,519.2479999999999,515.396,513.2698,0.006047440112728841,0.010316930296846825,-0.027470344514444855,-0.0025419124495499323,-0.40812411120650505,0.00920143954868196
2025-10-14,510.225,515.282,506.0,513.57,14684300.0,MSFT,517.166,515.6225000000001,512.8284,-0.0009337613072656348,0.009915821887893663,-0.019867170502690934,0.008899104196133933,0.02800723426758922,0.01807348560079451
2025-10-15,514.955,517.19,510.0,513.43,14694654.0,MSFT,514.882,515.7929999999999,512.542,-0.00027260159277231466,0.009911253743070456,-0.02175859769457955,0.0066860123132426175,0.0007051068147614359,0.01400385641664892
2025-10-16,512.58,516.85,508.13,511.61,15559565.0,MSFT,512.724,515.951,512.2754,-0.0035447870206258836,0.009920364707843242,-0.020654670750382742,0.006214967056741072,0.0588588884093495,0.01704423291178833
2025-10-17,509.04,515.48,507.31,513.58,19867765.0,MSFT,513.248,515.7335,512.1302,0.0038505893160807325,0.008993153084225356,0.005127602943479026,-0.00839881837313905,0.2768843473451861,0.01590794034035596
2025-10-20,514.61,518.7,513.43,516.79,14665620.0,MSFT,513.796,515.8505,512.0252,0.0062502433895399445,0.008979826558530274,0.005330220795642493,0.004548546991933078,-0.2618384604408196,0.010197565742371361
2025-10-21,517.5,518.69,513.04,517.66,15586204.0,MSFT,514.6139999999999,516.272,511.94300000000004,0.0016834691073743802,0.008641124365754269,0.007963860817415291,0.016554405671307615,0.06277157051662319,0.010914499864776285
2025-10-22,521.15,525.23,517.71,520.54,18962694.0,MSFT,516.036,516.7915,511.769,0.005563497276204421,0.008703468101279987,0.013848041602555483,0.020366558855238637,0.21663324822387797,0.014446536289238065
2025-10-23,522.46,523.95,518.61,520.56,14023532.0,MSFT,517.8259999999999,517.468,511.7686,3.842163906697671e-05,0.00854432121524816,0.01749379410097518,0.02668481154961233,-0.2604673154563376,0.01025818349469808
2025-10-24,522.79,525.345,520.71,523.61,15532360.0,MSFT,519.832,518.0755,511.7912,0.005859074842477385,0.008436961500321997,0.01952957669691191,0.023755523403589773,0.10759258081344991,0.008852008174022633
2025-10-27,531.78,534.58,529.01,531.52,18734716.0,MSFT,522.778,518.9215,512.0182,0.015106663356314831,0.008936297353409601,0.028502873507614268,0.032879906723668695,0.20617317651664013,0.010479379891631642
2025-10-28,550.0,553.72,540.77,542.07,29986683.0,MSFT,527.6600000000001,520.1274999999999,512.5176,0.01984873570138479,0.009775878719873808,0.04715450295560819,0.04656820156385755,0.6005944792544493,0.023889903517995914
2025-10-29,544.94,546.27,536.7287,541.55,36023004.0,MSFT,531.862,521.2194999999999,513.1532,-0.0009592857011089251,0.009799203089259896,0.040361931840012355,0.04202343614708193,0.2013000570953447,0.017618502446680784
2025-10-30,530.48,534.97,522.12,525.76,41023088.0,MSFT,532.902,521.7205,513.554,-0.02915704921059914,0.011884802768992786,0.009989242354387695,0.019428394152092077,0.1388025274072091,0.02444080949482658
2025-10-31,528.875,529.32,515.1,517.81,34006424.0,MSFT,531.742,521.7435,513.8254000000001,-0.01512096774193561,0.01240449800542188,-0.01107694658238012,0.0008891466125444669,-0.17104182893301445,0.027461810316525424
2025-11-03,519.805,524.96,514.59,517.03,22374742.0,MSFT,528.8439999999999,521.1665,514.0214,-0.0015063440258009653,0.011318481035989324,-0.027261438892233647,-0.021832491439166213,-0.3420436679846137,0.020056863238109984
2025-11-04,511.76,515.55,507.84,514.33,20958663.0,MSFT,523.2959999999999,520.684,514.2228,-0.005222134112140342,0.011221521525963635,-0.05117420259376093,-0.018416733463109236,-0.06328917669754586,0.01499037582874804
